DP,DPNOM,Código Municipio,MPIO,AÑO,ÁREA GEOGRÁFICA,Pobl
05,Antioquia,05819,Toledo,2022,Total,"5,200"
05,Antioquia,05837,Turbo,2022,Total,"134,278"
05,Antioquia,05842,Uramita,2022,Total,"7,114"
05,Antioquia,05847,Urrao,2022,Total,"31,839"
05,Antioquia,05854,Valdivia,2022,Total,"14,542"
05,Antioquia,05856,Valparaíso,2022,Total,"6,674"
05,Antioquia,05858,Vegachí,2022,Total,"12,414"
05,Antioquia,05861,Venecia,2022,Total,"12,080"
05,Antioquia,05873,Vigía del Fuerte,2022,Total,"9,717"
05,Antioquia,05885,Yalí,2022,Total,"7,921"
05,Antioquia,05887,Yarumal,2022,Total,"44,009"
05,Antioquia,05890,Yolombó,2022,Total,"24,239"
05,Antioquia,05893,Yondó,2022,Total,"20,741"
05,Antioquia,05895,Zaragoza,2022,Total,"26,510"
08,Atlántico,08001,Barranquilla,2022,Total,"1,312,473"
08,Atlántico,08078,Baranoa,2022,Total,"69,075"
08,Atlántico,08137,Campo de La Cruz,2022,Total,"24,274"
08,Atlántico,08141,Candelaria,2022,Total,"17,714"
08,Atlántico,08296,Galapa,2022,Total,"69,045"
08,Atlántico,08372,Juan de Acosta,2022,Total,"23,439"
08,Atlántico,08421,Luruaco,2022,Total,"31,230"
08,Atlántico,08433,Malambo,2022,Total,"143,781"
08,Atlántico,08436,Manatí,2022,Total,"22,090"
08,Atlántico,08520,Palmar de Varela,2022,Total,"31,969"
08,Atlántico,08549,Piojó,2022,Total,"7,302"
08,Atlántico,08558,Polonuevo,2022,Total,"20,135"
08,Atlántico,08560,Ponedera,2022,Total,"26,505"
08,Atlántico,08573,Puerto Colombia,2022,Total,"55,269"
08,Atlántico,08606,Repelón,2022,Total,"28,945"
08,Atlántico,08634,Sabanagrande,2022,Total,"36,144"
08,Atlántico,08638,Sabanalarga,2022,Total,"103,050"
08,Atlántico,08675,Santa Lucía,2022,Total,"17,617"
08,Atlántico,08685,Santo Tomás,2022,Total,"32,960"
08,Atlántico,08758,Soledad,2022,Total,"685,106"
08,Atlántico,08770,Suan,2022,Total,"12,949"
08,Atlántico,08832,Tubará,2022,Total,"19,415"
08,Atlántico,08849,Usiacurí,2022,Total,"13,538"
11,"Bogotá, D.C.",11001,"Bogotá, D.C.",2022,Total,"7,901,653"
13,Bolívar,13001,Cartagena de Indias,2022,Total,"1,055,035"
13,Bolívar,13006,Achí,2022,Total,"25,531"
13,Bolívar,13030,Altos del Rosario,2022,Total,"11,881"
13,Bolívar,13042,Arenal,2022,Total,"7,974"
13,Bolívar,13052,Arjona,2022,Total,"75,615"
13,Bolívar,13062,Arroyohondo,2022,Total,"8,933"
13,Bolívar,13074,Barranco de Loba,2022,Total,"15,566"
13,Bolívar,13140,Calamar,2022,Total,"23,683"
